"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"PYCNO","1rep.LOD",6.25352363552629,-14.1611122863581,26.6681595574107,10.0222405349831
"PYCNO","2rep.LOD",5.31990559156233,-5.75364961141282,16.3934607945375,5.43638565224953
"PYCNO","3rep.LOD",4.9660793287065,-2.88264028495269,12.8147989423657,3.85320395429667
"PYCNO","4rep.LOD",4.75617224572528,-1.27461868564923,10.7869631770998,2.96072080646984
"PYCNO","5rep.LOD",4.60785648527373,-0.187461631760609,9.40317460230806,2.35418509517283
"PYCNO","8rep.LOD",4.31790058661748,1.77864189088216,6.85715928235279,1.24660863542148
