"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"Pycno","1rep.LOD",25.3899900750929,8.30585561536082,42.474124534825,8.44624074320837
"Pycno","2rep.LOD",14.6716259397305,8.54098683295611,20.8022650465048,3.03093223292016
"Pycno","3rep.LOD",10.645090814805,6.41294908146918,14.8772325481408,2.09233239315619
"Pycno","4rep.LOD",8.47801070731944,4.57673433649673,12.3792870781421,1.92875556624925
"Pycno","5rep.LOD",7.10584528769067,3.27396297121184,10.9377276041695,1.8944477767316
"Pycno","8rep.LOD",4.89902522383579,1.21923234547373,8.57881810219785,1.81925614136597
