Target,Sample_ID,TemplateVolume,ReactionVolume,TargetConcentration,MeasuredConcentration,TotalDroplets,PositiveDroplets,NegativeDroplets
PYCNO,std-312500,2,20,312500,1000000,15684,15684,0
PYCNO,std-312500,2,20,312500,1000000,16297,16297,0
PYCNO,std-312500,2,20,312500,1000000,16420,16420,0
PYCNO,std-312500,2,20,312500,12066.68,14662,14661,1
PYCNO,std-312500,2,20,312500,1000000,15551,15551,0
PYCNO,std-31250,2,20,31250,3366.31,15489,14423,1066
PYCNO,std-31250,2,20,31250,3367.49,15009,13977,1032
PYCNO,std-31250,2,20,31250,3472.7,15765,14768,997
PYCNO,std-31250,2,20,31250,3401.24,16956,15821,1135
PYCNO,std-31250,2,20,31250,3515.37,16816,15788,1028
PYCNO,std-6250,2,20,6250,583.94,17785,6605,11180
PYCNO,std-6250,2,20,6250,577.37,17463,6428,11035
PYCNO,std-6250,2,20,6250,577.21,18255,6718,11537
PYCNO,std-6250,2,20,6250,589.34,17149,6415,10734
PYCNO,std-6250,2,20,6250,560.27,16840,6053,10787
PYCNO,std-1250,2,20,1250,133.46,19143,1927,17216
PYCNO,std-1250,2,20,1250,122.11,18181,1682,16499
PYCNO,std-1250,2,20,1250,125.15,17391,1647,15744
PYCNO,std-1250,2,20,1250,137.14,17436,1801,15635
PYCNO,std-1250,2,20,1250,134.57,18480,1875,16605
PYCNO,std-250,2,20,250,28.29,18343,408,17935
PYCNO,std-250,2,20,250,24.35,17475,335,17140
PYCNO,std-250,2,20,250,24.61,18016,349,17667
PYCNO,std-250,2,20,250,29.63,18213,424,17789
PYCNO,std-250,2,20,250,30.53,18852,452,18400
PYCNO,std-50,2,20,50,5.53,17797,78,17719
PYCNO,std-50,2,20,50,5.23,18319,76,18243
PYCNO,std-50,2,20,50,5.74,18441,84,18357
PYCNO,std-50,2,20,50,4.93,17393,68,17325
PYCNO,std-50,2,20,50,5.22,18849,78,18771
PYCNO,std-10,2,20,10,1.02,18455,15,18440
PYCNO,std-10,2,20,10,0.75,18347,11,18336
PYCNO,std-10,2,20,10,1.39,18965,21,18944
PYCNO,std-10,2,20,10,0.74,17045,10,17035
PYCNO,std-10,2,20,10,0.78,19262,12,19250
PYCNO,std-2,2,20,2,0.07,17382,1,17381
PYCNO,std-2,2,20,2,0.36,17587,5,17582
PYCNO,std-2,2,20,2,0.29,17579,4,17575
PYCNO,std-2,2,20,2,0.15,16349,2,16347
PYCNO,std-2,2,20,2,0.06,19743,1,19742
PYCNO,std-0.4,2,20,0.4,0.07,16781,1,16780
PYCNO,std-0.4,2,20,0.4,0.22,16905,3,16902
PYCNO,std-0.4,2,20,0.4,0,16348,0,16348
PYCNO,std-0.4,2,20,0.4,0.17,14387,2,14385
PYCNO,std-0.4,2,20,0.4,0,16854,0,16854
PYCNO,std-0,2,20,0,0.07,17415,1,17414
PYCNO,std-0,2,20,0,0.07,17203,1,17202
PYCNO,std-0,2,20,0,0,17206,0,17206
