"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"PYCNO","1rep.LOD",19.4922340180152,8.53592117479863,30.4485468612318,5.41214405698762
"PYCNO","2rep.LOD",9.97771912295317,4.36938238372748,15.5860558621789,2.77037784400053
"PYCNO","3rep.LOD",6.67623260633204,2.92361538547101,10.4288498271931,1.85369889310954
"PYCNO","4rep.LOD",5.01419423567003,2.1957855990879,7.83260287225217,1.39222325712291
"PYCNO","5rep.LOD",4.01428830540041,1.75791284447666,6.27066376632416,1.11459294891638
"PYCNO","8rep.LOD",2.51135088654144,1.09975558419656,3.92294618888632,0.697292714782923
