samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	LoDLoQLevel
CMIC632-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	15114.62593	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC632-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	14302.03629	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC632-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	16745.67032	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC633-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	99200.33264	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC633-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	84184.74579	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC633-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	79249.2218	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC634-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	39300.78506	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC634-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	53128.81088	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC634-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	50560.94742	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC635-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3193.701744	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC635-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3860.979557	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC635-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3710.61635	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC636-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	793.8995361	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC636-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	827.7137876	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
