samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	LoDLoQLevel
CMIC828-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1739.881396	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC828-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	1437.908411	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC828-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	862.7901077	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC829-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	227.8941125	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC829-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3543.607235	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC829-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	303.3733368	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC830-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	381.574899	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC830-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	295.0129807	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC830-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	215.8616185	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC832-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	1819.36264	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC832-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	940.5114055	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC832-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	1090.338945	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC833-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3783.771753	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC833-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	3482.976437	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC833-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	3697.203159	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC834-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	55605.57175	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC834-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	52250.31662	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC834-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	52127.26593	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC835-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	3000.011921	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC835-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	1798.706174	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
CMIC835-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	2156.791925	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4330-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4330-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4330-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4331-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4331-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4331-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4332-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4332-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	84.37211066	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4332-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4333-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	424.0221083	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4333-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	370.0790405	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4333-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	143.0282146	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4334-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4334-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4334-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4335-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4335-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4335-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	142.7198797	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4737-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	221.5390056	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4737-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4737-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	214.3656015	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4738-1	1	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
QMIC4738-2	2	Pycno	Hakai	NA	Ct/Cq with standard curve	217.7801132	copies/L	Above LOQ_Klymus & LOQ_eLowQuant
QMIC4738-3	3	Pycno	Hakai	NA	Ct/Cq with standard curve	0	copies/L	No Amplification
