samp_name	technical_rep_id	assay_name	pcr_plate_id	amp_vis_method	estimatedNumberOfCopies_method	ddPCR_totalDropletCount	ddPCR_positiveDropletCount	ddPCR_negativeDropletCount	estimatedNumberOfCopies_instrument	Extraction_Elution_Vol_uL	ddPCR_template_vol_uL	ddPCR_assay_vol_uL	Dilution_factor_ddPCR_template	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	
CMIC631-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17204	18	17186	1.32	100	2	20	1	1316.749692	copies/L	
CMIC631-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16918	20	16898	1.49	100	2	20	1	1487.889409	copies/L	
CMIC631-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18519	13	18506	0.88	100	2	20	1	883.3059669	copies/L	
CMIC632-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17498	209	17289	15.11	100	2	20	1	15114.62593	copies/L	
CMIC632-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17071	193	16878	14.3	100	2	20	1	14302.03629	copies/L	
CMIC632-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17165	227	16938	16.75	100	2	20	1	16745.67032	copies/L	
CMIC633-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17103	1297	15806	99.2	100	2	20	1	99200.33264	copies/L	
CMIC633-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14644	948	13696	84.18	100	2	20	1	84184.74579	copies/L	
CMIC633-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18179	1110	17069	79.25	100	2	20	1	79249.2218	copies/L	
CMIC634-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15084	464	14620	39.3	100	2	20	1	39300.78506	copies/L	
CMIC634-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16055	664	15391	53.13	100	2	20	1	53128.81088	copies/L	
CMIC634-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16168	637	15531	50.56	100	2	20	1	50560.94742	copies/L	
CMIC635-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16563	42	16521	3.19	100	2	20	1	3193.701744	copies/L	
CMIC635-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16967	52	16915	3.86	100	2	20	1	3860.979557	copies/L	
CMIC635-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17314	51	17263	3.71	100	2	20	1	3710.61635	copies/L	
CMIC636-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17434	11	17423	0.79	100	2	20	1	793.8995361	copies/L	
CMIC636-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16722	11	16711	0.83	100	2	20	1	827.7137876	copies/L	
CMIC636-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17570	16	17554	1.15	100	2	20	1	1145.984888	copies/L	
CMIC637-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17785	93	17692	6.59	100	2	20	1	6594.774246	copies/L	
CMIC637-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17335	97	17238	7.06	100	2	20	1	7058.276176	copies/L	
CMIC637-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16712	111	16601	8.38	100	2	20	1	8382.502556	copies/L	
CMIC638-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17155	512	16643	38.11	100	2	20	1	38113.16681	copies/L	
CMIC638-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16389	486	15903	37.86	100	2	20	1	37864.91394	copies/L	
CMIC638-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15893	475	15418	38.17	100	2	20	1	38167.42325	copies/L	
CMIC639-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18948	1	18947	0.07	100	2	20	1	66.38667732	copies/L	
CMIC639-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16244	0	16244	0	100	2	20	1	0	copies/L	
CMIC639-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18340	0	18340	0	100	2	20	1	0	copies/L	
CMIC640-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18704	0	18704	0	100	2	20	1	0	copies/L	
CMIC640-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17305	0	17305	0	100	2	20	1	0	copies/L	
CMIC640-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17413	1	17412	0.07	100	2	20	1	72.23900408	copies/L	
CMIC772-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17135	2	17133	0.15	100	2	20	1	146.8263716	copies/L	
CMIC772-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16803	2	16801	0.15	100	2	20	1	149.7276127	copies/L	
CMIC772-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16131	28	16103	2.19	100	2	20	1	2185.278416	copies/L	
CMIC773-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17816	1143	16673	83.4	100	2	20	1	83404.12903	copies/L	
CMIC773-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16164	1021	15143	82.07	100	2	20	1	82073.16589	copies/L	
CMIC773-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18178	1126	17052	80.43	100	2	20	1	80433.41827	copies/L	
CMIC774-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15393	3510	11883	7.47	100	2	20	50	373527.4792	copies/L	
CMIC774-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15982	3786	12196	7.38	100	2	20	50	369026.9232	copies/L	
CMIC774-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15417	2988	12429	7.36	100	2	20	50	368227.5057	copies/L	
CMIC775-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17171	1078	16093	81.56	100	2	20	1	81556.633	copies/L	
CMIC775-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15691	961	14730	79.5	100	2	20	1	79498.19946	copies/L	
CMIC775-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17643	954	16689	69.92	100	2	20	1	69923.62976	copies/L	
CMIC776-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15923	4	15919	0.32	100	2	20	1	316.0257936	copies/L	
CMIC776-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16657	3	16654	0.23	100	2	20	1	226.5668958	copies/L	
CMIC776-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17156	6	17150	0.44	100	2	20	1	439.9912357	copies/L	
CMIC777-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17411	5	17406	0.36	100	2	20	1	361.2779975	copies/L	
CMIC777-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16464	2	16462	0.15	100	2	20	1	152.8107375	copies/L	
CMIC777-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17341	3	17338	0.22	100	2	20	1	217.6294029	copies/L	
CMIC778-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15991	67	15924	5.28	100	2	20	1	5281.331539	copies/L	
CMIC778-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15431	53	15378	4.33	100	2	20	1	4327.744007	copies/L	
CMIC778-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17107	63	17044	4.64	100	2	20	1	4640.881538	copies/L	
CMIC779-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16617	11	16606	0.83	100	2	20	1	832.9457641	copies/L	
CMIC779-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17159	11	17148	0.81	100	2	20	1	806.6270947	copies/L	
CMIC779-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16406	10	16396	0.77	100	2	20	1	766.9420838	copies/L	
CMIC780-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16638	10	16628	0.76	100	2	20	1	756.2445998	copies/L	
CMIC780-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16714	16	16698	1.2	100	2	20	1	1204.704165	copies/L	
CMIC780-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15849	18	15831	1.43	100	2	20	1	1429.388285	copies/L	
CMIC781-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17670	157	17513	11.23	100	2	20	1	11226.19343	copies/L	
CMIC781-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18459	177	18282	12.12	100	2	20	1	12119.60602	copies/L	
CMIC781-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17222	186	17036	13.66	100	2	20	1	13658.97369	copies/L	
CMIC784-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17430	81	17349	6.73	100	2	20	1	6734.050751	copies/L	
CMIC784-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	11619	41	11578	8.36	100	2	20	1	8362.800598	copies/L	
CMIC784-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15373	73	15300	6.32	100	2	20	1	6321.122169	copies/L	
CMIC785-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18667	26	18641	1.75	100	2	20	1	1753.211498	copies/L	
CMIC785-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	19138	35	19103	2.3	100	2	20	1	2302.511454	copies/L	
CMIC785-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16862	25	16837	1.87	100	2	20	1	1866.319299	copies/L	
CMIC786-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	10555	220	10335	30.07	100	2	20	1	30069.21196	copies/L	
CMIC786-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18638	412	18226	30.41	100	2	20	1	30407.63283	copies/L	
CMIC786-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15407	324	15083	29.88	100	2	20	1	29883.30841	copies/L	
CMIC787-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18461	14	18447	0.95	100	2	20	1	954.2680979	copies/L	
CMIC787-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17895	16	17879	1.13	100	2	20	1	1125.162721	copies/L	
CMIC787-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17884	20	17864	1.41	100	2	20	1	1407.476425	copies/L	
