samp_name	technical_rep_id	assay_name	pcr_plate_id	amp_vis_method	estimatedNumberOfCopies_method	ddPCR_totalDropletCount	ddPCR_positiveDropletCount	ddPCR_negativeDropletCount	estimatedNumberOfCopies_instrument	Extraction_Elution_Vol_uL	ddPCR_template_vol_uL	ddPCR_assay_vol_uL	Dilution_factor_ddPCR_template	estimatedNumberOfCopies	estimatedNumberOfCopies_unit	
CMIC819-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14922	200	14722	16.97	100	2	20	1	16973.15788	copies/L	
CMIC819-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14797	174	14623	14.88	100	2	20	1	14879.02546	copies/L	
CMIC819-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15251	191	15060	15.85	100	2	20	1	15852.64492	copies/L	
CMIC820-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14055	132	13923	11.87	100	2	20	1	11869.25125	copies/L	
CMIC820-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14257	133	14124	11.79	100	2	20	1	11789.35337	copies/L	
CMIC820-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14500	144	14356	12.55	100	2	20	1	12554.30889	copies/L	
CMIC828-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17363	24	17339	1.74	100	2	20	1	1739.881396	copies/L	
CMIC828-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18381	21	18360	1.44	100	2	20	1	1437.908411	copies/L	
CMIC828-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14584	10	14574	0.86	100	2	20	1	862.7901077	copies/L	
CMIC829-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16560	3	16557	0.23	100	2	20	1	227.8941125	copies/L	
CMIC829-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15996	45	15951	3.54	100	2	20	1	3543.607235	copies/L	
CMIC829-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16587	4	16583	0.3	100	2	20	1	303.3733368	copies/L	
CMIC830-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16485	5	16480	0.38	100	2	20	1	381.574899	copies/L	
CMIC830-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17057	4	17053	0.3	100	2	20	1	295.0129807	copies/L	
CMIC830-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17483	3	17480	0.22	100	2	20	1	215.8616185	copies/L	
CMIC832-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16605	24	16581	1.82	100	2	20	1	1819.36264	copies/L	
CMIC832-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17393	13	17380	0.94	100	2	20	1	940.5114055	copies/L	
CMIC832-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16158	14	16144	1.09	100	2	20	1	1090.338945	copies/L	
CMIC833-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15648	47	15601	3.78	100	2	20	1	3783.771753	copies/L	
CMIC833-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17359	48	17311	3.48	100	2	20	1	3482.976437	copies/L	
CMIC833-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17036	50	16986	3.7	100	2	20	1	3697.203159	copies/L	
CMIC834-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16858	729	16129	55.61	100	2	20	1	55605.57175	copies/L	
CMIC834-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15754	641	15113	52.25	100	2	20	1	52250.31662	copies/L	
CMIC834-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17367	705	16662	52.13	100	2	20	1	52127.26593	copies/L	
CMIC835-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17631	42	17589	3	100	2	20	1	3000.011921	copies/L	
CMIC835-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18895	27	18868	1.8	100	2	20	1	1798.706174	copies/L	
CMIC835-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18095	31	18064	2.16	100	2	20	1	2156.791925	copies/L	
QMIC4330-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18233	0	18233	0	100	2	20	1	0	copies/L	
QMIC4330-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14360	0	14360	0	100	2	20	1	0	copies/L	
QMIC4330-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16260	0	16260	0	100	2	20	1	0	copies/L	
QMIC4331-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	13271	0	13271	0	100	2	20	1	0	copies/L	
QMIC4331-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17976	0	17976	0	100	2	20	1	0	copies/L	
QMIC4331-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16014	0	16014	0	100	2	20	1	0	copies/L	
QMIC4332-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16965	0	16965	0	100	2	20	1	0	copies/L	
QMIC4332-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14909	1	14908	0.08	100	2	20	1	84.37211066	copies/L	
QMIC4332-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16458	0	16458	0	100	2	20	1	0	copies/L	
QMIC4333-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17802	6	17796	0.42	100	2	20	1	424.0221083	copies/L	
QMIC4333-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16997	5	16992	0.37	100	2	20	1	370.0790405	copies/L	
QMIC4333-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17590	2	17588	0.14	100	2	20	1	143.0282146	copies/L	
QMIC4334-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	18135	0	18135	0	100	2	20	1	0	copies/L	
QMIC4334-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16115	0	16115	0	100	2	20	1	0	copies/L	
QMIC4334-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16645	0	16645	0	100	2	20	1	0	copies/L	
QMIC4335-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15725	0	15725	0	100	2	20	1	0	copies/L	
QMIC4335-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15569	0	15569	0	100	2	20	1	0	copies/L	
QMIC4335-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17628	2	17626	0.14	100	2	20	1	142.7198797	copies/L	
QMIC4737-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17035	3	17032	0.22	100	2	20	1	221.5390056	copies/L	
QMIC4737-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	16210	0	16210	0	100	2	20	1	0	copies/L	
QMIC4737-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17605	3	17602	0.21	100	2	20	1	214.3656015	copies/L	
QMIC4738-1	1	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	15633	0	15633	0	100	2	20	1	0	copies/L	
QMIC4738-2	2	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	17329	3	17326	0.22	100	2	20	1	217.7801132	copies/L	
QMIC4738-3	3	Pycno	Hakai	ddPCR	direct output from the PCR instrument used	14899	0	14899	0	100	2	20	1	0	copies/L	
