"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"PYCNO","1rep.LOD",11.958577554141,3.00415769029491,20.9129974179871,4.48969777537583
"PYCNO","2rep.LOD",4.65184286201281,2.9809993935984,6.32268633042722,0.83775189428289
"PYCNO","3rep.LOD",3.26903755935296,2.4437566727846,4.09431844592131,0.413791380885132
"PYCNO","4rep.LOD",2.6864691063725,2.08559473995733,3.28734347278767,0.301275163237187
"PYCNO","5rep.LOD",2.36035031699196,1.83343800909621,2.88726262488772,0.264190986412113
"PYCNO","8rep.LOD",1.88678803722433,1.40168368673375,2.37189238771491,0.243228702287723
