"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"PYCNO","1rep.LOD",3.25461843044678,1.83303099951927,4.6762058613743,0.712776262804825
"PYCNO","2rep.LOD",2.13226720440611,1.64181212468276,2.62272228412947,0.245911529036781
"PYCNO","3rep.LOD",1.78890506382123,1.47806278385425,2.09974734378821,0.155854640957283
"PYCNO","4rep.LOD",1.60721819218627,1.34663466206189,1.86780172231066,0.130655175130076
"PYCNO","5rep.LOD",1.48925171289242,1.23960820074988,1.73889522503495,0.125169909178452
"PYCNO","8rep.LOD",1.28546990041635,1.0207722608722,1.55016753996049,0.132717967381321
