"Assay","LoD","Estimate","Lower","Upper","Std..Error"
"Pycno","1rep.LOD",1.85996671246759,0.925770712045604,2.79416271288957,0.473783707879548
"Pycno","2rep.LOD",0.822817143561445,0.636933290642887,1.00870099648,0.0942722309139724
"Pycno","3rep.LOD",0.510632599840309,0.38294686533089,0.638318334349728,0.064756668527664
"Pycno","4rep.LOD",0.364000090539477,0.23350769419743,0.494492486881523,0.0661800857219423
"Pycno","5rep.LOD",0.279945807668566,0.15081544846114,0.409076166875992,0.0654893195405214
"Pycno","8rep.LOD",0.161027352127421,0.0489172576772251,0.273137446577616,0.0568573791959579
