samp_name	technical_rep_id	assay_name	pcr_plate_id	std_conc	std_conc_unit	quantificationCycle	efficiency	r2	slope	intercept
Pycno_STANDARD_1000-1-Plate:5	1	Pycno	5	2000	copies/reaction	26.383264541626	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-2-Plate:5	2	Pycno	5	2000	copies/reaction	26.1378154754639	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-3-Plate:5	3	Pycno	5	2000	copies/reaction	26.8102416992188	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-4-Plate:5	4	Pycno	5	2000	copies/reaction	26.660343170166	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-5-Plate:5	5	Pycno	5	2000	copies/reaction	27.1495933532715	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-6-Plate:5	6	Pycno	5	2000	copies/reaction	26.3723526000977	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-7-Plate:5	7	Pycno	5	2000	copies/reaction	26.5683631896973	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-8-Plate:5	8	Pycno	5	2000	copies/reaction	26.2503910064697	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_1000-9-Plate:5	9	Pycno	5	2000	copies/reaction	26.2914066314697	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_10000-1-Plate:5	1	Pycno	5	20000	copies/reaction	22.5941047668457	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-1-Plate:5	1	Pycno	5	200	copies/reaction	29.5241031646729	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-2-Plate:5	2	Pycno	5	200	copies/reaction	29.4903182983398	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-3-Plate:5	3	Pycno	5	200	copies/reaction	29.3227481842041	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-4-Plate:5	4	Pycno	5	200	copies/reaction	29.4914417266846	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-5-Plate:5	5	Pycno	5	200	copies/reaction	29.909122467041	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-6-Plate:5	6	Pycno	5	200	copies/reaction	29.1507949829102	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-7-Plate:5	7	Pycno	5	200	copies/reaction	31.3467788696289	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-8-Plate:5	8	Pycno	5	200	copies/reaction	30.4968452453613	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-9-Plate:5	9	Pycno	5	200	copies/reaction	29.3915748596191	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-10-Plate:5	10	Pycno	5	200	copies/reaction	29.6392803192139	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-11-Plate:5	11	Pycno	5	200	copies/reaction	29.3835582733154	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
Pycno_STANDARD_100-12-Plate:5	12	Pycno	5	200	copies/reaction	29.7891960144043	96.2262802124023	0.969399988651276	-3.41580009460449	36.4639015197754
