samp_name	technical_rep_id	assay_name	pcr_plate_id	quantificationCycle	estimatedNumberOfCopies_method	estimatedNumberOfCopies	estimatedNumberOfCopies_unit
E2697.1T-1-Plate:5	1	Pycno	5	26.0233116149902	Ct/Cq with standard curve	2278.17602539062	copies/reaction
E2697.1T-2-Plate:5	2	Pycno	5	26.1537132263184	Ct/Cq with standard curve	2086.4658203125	copies/reaction
E2697.1T-3-Plate:5	3	Pycno	5	26.3187389373779	Ct/Cq with standard curve	1866.80444335938	copies/reaction
E2698.1T-1-Plate:5	1	Pycno	5	28.7839298248291	Ct/Cq with standard curve	354.320648193359	copies/reaction
E2698.1T-2-Plate:5	2	Pycno	5	28.9239463806152	Ct/Cq with standard curve	322.407836914062	copies/reaction
E2698.1T-3-Plate:5	3	Pycno	5	29.0234260559082	Ct/Cq with standard curve	301.496459960938	copies/reaction
E2697.2T-1-Plate:5	1	Pycno	5	23.7297496795654	Ct/Cq with standard curve	10691.6328125	copies/reaction
E2697.2T-2-Plate:5	2	Pycno	5	23.8404808044434	Ct/Cq with standard curve	9922.6279296875	copies/reaction
E2697.2T-3-Plate:5	3	Pycno	5	24.2409324645996	Ct/Cq with standard curve	7575.15625	copies/reaction
E2698.2T-1-Plate:5	1	Pycno	5	29.1960830688477	Ct/Cq with standard curve	268.371032714844	copies/reaction
E2698.2T-2-Plate:5	2	Pycno	5	28.7454605102539	Ct/Cq with standard curve	363.629089355469	copies/reaction
E2698.2T-3-Plate:5	3	Pycno	5	29.2540798187256	Ct/Cq with standard curve	258.081390380859	copies/reaction
E2697.3T-1-Plate:5	1	Pycno	5	23.8266429901123	Ct/Cq with standard curve	10015.619140625	copies/reaction
E2697.3T-2-Plate:5	2	Pycno	5	23.7035427093506	Ct/Cq with standard curve	10882.1904296875	copies/reaction
E2697.3T-3-Plate:5	3	Pycno	5	24.0260562896729	Ct/Cq with standard curve	8755.8466796875	copies/reaction
E2698.3T-1-Plate:5	1	Pycno	5	29.7310619354248	Ct/Cq with standard curve	187.118499755859	copies/reaction
E2698.3T-2-Plate:5	2	Pycno	5	29.4523448944092	Ct/Cq with standard curve	225.794387817383	copies/reaction
E2698.3T-3-Plate:5	3	Pycno	5	29.7461318969727	Ct/Cq with standard curve	185.227249145508	copies/reaction
E2707.1T-1-Plate:5	1	Pycno	5	39.3834838867188	Ct/Cq with standard curve	0.279447883367538	copies/reaction
E2707.1T-2-Plate:5	2	Pycno	5	NA	Ct/Cq with standard curve	0	copies/reaction
E2707.1T-3-Plate:5	3	Pycno	5	39.5838623046875	Ct/Cq with standard curve	0.244139805436134	copies/reaction
